id,user_id,created_at,completed,attention_checks,prolific_start_time,prolific_end_time,event_start_time,event_end_time,total_learning_time,exp_instruction_time,total_exp_time,study_group
4472,participant_0016,2025-02-24 12:19:12.515023,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-24 12:15:53.920,2025-02-24 12:32:22.095,2025-02-24 12:20:10.830393,2025-02-24 12:30:35.650027,10.413660566666666,4.281839883333333,16.469583333333333,chat
4470,participant_0104,2025-02-24 12:15:49.867723,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-24 12:12:18.129,2025-02-24 12:37:31.027,2025-02-24 12:16:40.967903,2025-02-24 12:34:45.636220,18.07780528333333,4.380648383333334,25.214966666666665,chat
4485,participant_0127,2025-02-24 12:42:38.938946,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-24 12:37:46.192,2025-02-24 13:25:57.074,2025-02-24 12:45:13.405108,2025-02-24 13:19:06.942961,33.89229755,7.4535518,48.18136666666667,chat
4009,participant_0106,2025-02-23 02:15:42.624591,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 02:07:03.097,2025-02-23 03:21:47.903,2025-02-23 02:20:51.502658,2025-02-23 03:11:19.790484,50.47146376666667,13.806760966666667,74.74676666666666,chat
4032,participant_0061,2025-02-23 03:25:20.476280,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 03:16:21.629,2025-02-23 04:26:13.559,2025-02-23 03:28:45.058333,2025-02-23 04:17:19.527049,48.5744786,12.390488883333337,69.86550000000001,chat
3918,participant_0069,2025-02-22 23:12:53.365299,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-22 23:09:58.062,2025-02-22 23:41:48.181,2025-02-22 23:15:03.274135,2025-02-22 23:38:10.504098,23.120499383333332,5.086868916666666,31.835316666666664,chat
4012,participant_0024,2025-02-23 02:24:56.816033,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 02:12:37.485,2025-02-23 03:33:25.723,2025-02-23 02:27:23.348304,2025-02-23 03:24:22.098094,56.979163166666666,14.7643884,80.80396666666667,chat
3919,participant_0067,2025-02-22 23:13:02.492094,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-22 23:09:18.898,2025-02-22 23:39:35.867,2025-02-22 23:13:59.221158,2025-02-22 23:33:34.997113,19.596265916666667,4.672052633333333,30.28281666666667,chat
3925,participant_0060,2025-02-22 23:22:21.881934,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-2'}}",2025-02-22 23:20:45.386,2025-02-22 23:33:14.309,2025-02-22 23:23:03.039521,2025-02-22 23:31:38.579385,8.592331066666667,2.29422535,12.48205,chat
3932,participant_0131,2025-02-22 23:33:08.153307,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-22 23:30:18.442,2025-02-23 00:02:47.203,2025-02-22 23:34:23.057569,2025-02-22 23:54:20.520333,19.957712733333334,4.07692615,32.47935,chat
4042,participant_0072,2025-02-23 04:02:06.965365,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 03:33:25.726,2025-02-23 04:54:22.579,2025-02-23 04:07:00.943361,2025-02-23 04:48:12.340918,41.18995928333333,33.58695601666667,80.94755,chat
4031,participant_0032,2025-02-23 03:25:09.534798,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 03:21:47.899,2025-02-23 03:57:41.407,2025-02-23 03:26:12.957828,2025-02-23 03:51:07.473794,24.908599433333332,4.417647133333333,35.891799999999996,chat
4043,participant_0013,2025-02-23 04:04:55.068937,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-23 03:57:43.220,2025-02-23 05:01:45.420,2025-02-23 04:06:24.870659,2025-02-23 04:52:20.978634,45.93513291666667,8.69417765,64.03666666666666,chat
4493,participant_0090,2025-02-24 13:04:31.861451,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-24 12:58:22.404,2025-02-24 13:45:26.804,2025-02-24 13:07:15.670219,2025-02-24 13:39:35.258796,32.326476283333335,8.887770316666666,47.07333333333334,chat
3941,participant_0035,2025-02-22 23:44:21.073684,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-22 23:36:33.354,2025-02-23 00:55:46.734,2025-02-22 23:45:30.697807,2025-02-23 00:51:20.029703,65.82219826666667,8.955730116666667,79.223,chat
3956,participant_0086,2025-02-23 00:15:31.273129,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-23 00:12:49.293,2025-02-23 00:50:41.510,2025-02-23 00:16:52.987683,2025-02-23 00:48:05.545990,31.209305116666663,4.06157805,37.87028333333333,chat
4056,participant_0003,2025-02-23 04:32:56.034629,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-23 04:26:14.434,2025-02-23 05:04:42.366,2025-02-23 04:33:56.656170,2025-02-23 05:01:19.827738,27.3861928,7.703702833333334,38.46553333333333,chat
4083,participant_0083,2025-02-23 05:42:40.711470,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 05:39:24.593,2025-02-23 06:28:57.315,2025-02-23 05:43:41.008988,2025-02-23 06:23:40.220275,39.986854783333335,4.2735998,49.54536666666667,chat
4498,participant_0057,2025-02-24 13:28:15.560766,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",,,2025-02-24 13:29:28.000887,2025-02-24 13:53:01.999073,23.566636433333333,,,chat
4070,participant_0047,2025-02-23 05:15:36.303475,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '0'}}",2025-02-23 05:08:27.594,2025-02-23 05:44:53.374,2025-02-23 05:17:24.228545,2025-02-23 05:40:07.301287,22.717879033333336,8.943909083333333,36.42966666666667,chat
3966,participant_0103,2025-02-23 00:53:30.485982,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-3'}}",2025-02-23 00:44:38.740,2025-02-23 01:20:00.504,2025-02-23 00:54:32.886402,2025-02-23 01:14:14.460341,19.692898983333336,9.902440033333331,35.36273333333334,chat
4065,participant_0124,2025-02-23 05:06:30.577122,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-23 05:02:31.701,2025-02-23 05:38:14.842,2025-02-23 05:08:17.835192,2025-02-23 05:33:32.286137,25.240849083333337,5.7689032,35.71901666666667,chat
4068,participant_0045,2025-02-23 05:12:20.186342,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 05:04:43.099,2025-02-23 06:04:39.835,2025-02-23 05:14:28.535474,2025-02-23 05:55:16.253800,40.79530543333333,9.757274566666666,59.9456,chat
3987,participant_0026,2025-02-23 01:26:40.813416,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-23 01:23:12.630,2025-02-23 02:01:56.806,2025-02-23 01:28:29.399287,2025-02-23 01:57:17.551985,28.80254496666667,5.279488116666667,38.736266666666666,chat
3984,participant_0029,2025-02-23 01:22:39.613649,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-23 01:17:44.582,2025-02-23 02:07:04.296,2025-02-23 01:24:07.628319,2025-02-23 01:59:42.173648,35.57575548333333,6.384105316666666,49.32856666666667,chat
3975,participant_0134,2025-02-23 01:04:23.314309,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-23 00:57:48.620,2025-02-23 01:42:02.329,2025-02-23 01:05:10.664133,2025-02-23 01:38:36.004291,33.422335966666665,7.367402216666666,44.22848333333333,chat
3995,participant_0098,2025-02-23 01:48:04.859299,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-23 01:42:25.366,2025-02-23 02:20:15.175,2025-02-23 01:49:37.284608,2025-02-23 02:16:10.428111,26.552391716666666,7.198643466666667,37.83015,chat
4088,participant_0058,2025-02-23 05:50:14.902267,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '0'}}",2025-02-23 05:45:14.602,2025-02-23 06:52:48.949,2025-02-23 05:52:24.390451,2025-02-23 06:45:56.075680,53.528087150000005,7.16314085,67.57245,chat
4504,participant_0038,2025-02-24 13:45:37.852103,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '0'}}",2025-02-24 13:27:21.933,2025-02-24 14:27:24.999,2025-02-24 13:47:56.423964,2025-02-24 14:23:14.767658,35.30572823333333,20.5748494,60.0511,chat
4018,participant_0018,2025-02-23 02:48:28.364138,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 02:25:57.190,2025-02-23 03:14:06.070,2025-02-23 02:51:03.704271,2025-02-23 03:12:05.249838,21.02575945,25.108571183333332,48.148,chat
4021,participant_0002,2025-02-23 02:52:22.853154,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 02:40:03.312,2025-02-23 04:14:00.651,2025-02-23 02:58:39.791145,2025-02-23 03:59:25.480886,60.76149568333334,18.60798575,93.95565,chat
4004,participant_0096,2025-02-23 02:04:35.247037,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '0'}}",2025-02-23 02:02:03.477,2025-02-23 02:40:02.962,2025-02-23 02:05:25.638065,2025-02-23 02:33:17.980497,27.872373866666667,3.3693510833333336,37.991416666666666,chat
4148,participant_0055,2025-02-23 07:10:27.391819,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 07:03:43.352,2025-02-23 07:52:32.301,2025-02-23 07:12:02.455216,2025-02-23 07:47:16.495458,35.234004033333335,8.318386933333333,48.81581666666667,chat
4090,participant_0051,2025-02-23 05:56:07.760803,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-23 04:54:23.810,2025-02-23 06:22:24.697,2025-02-23 05:56:24.619026,2025-02-23 06:18:34.044456,22.1570905,62.01348376666667,88.01478333333333,chat
4137,participant_0019,2025-02-23 06:37:18.639935,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-23 06:29:51.666,2025-02-23 07:12:25.946,2025-02-23 06:38:33.890649,2025-02-23 07:01:25.409687,22.858650633333333,8.70374415,42.571333333333335,chat
