user_id,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10
participant_0001,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0002,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct
participant_0003,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,,Wrong
participant_0004,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0005,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct
participant_0006,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0007,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0008,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0009,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong
participant_0010,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0012,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0013,Correct,Wrong,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct
participant_0014,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0015,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0016,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong
participant_0017,Correct,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct
participant_0018,Correct,Correct,Wrong,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Wrong
participant_0019,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0020,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0021,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0022,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0023,Wrong,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0024,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Wrong,Correct,Wrong
participant_0025,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0026,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0027,Wrong,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong
participant_0028,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0030,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0031,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0032,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0033,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0034,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Wrong,Wrong
participant_0035,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0036,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0038,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0039,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Wrong,Wrong
participant_0040,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0041,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0042,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0043,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong,Wrong
participant_0044,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0045,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0046,Correct,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Wrong
participant_0047,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0048,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0049,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0050,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong
participant_0051,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct
participant_0052,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct
participant_0053,Correct,Wrong,Correct,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Correct
participant_0054,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0055,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0056,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0057,Correct,Wrong,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0058,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0059,Wrong,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0060,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0061,Wrong,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Wrong,Wrong
participant_0062,Wrong,Correct,Correct,Wrong,Wrong,Wrong,Correct,Wrong,Wrong,Wrong
participant_0063,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0064,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0065,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,Correct
participant_0066,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0069,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0070,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0071,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0072,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0073,Correct,Correct,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Wrong
participant_0074,Correct,Correct,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong
participant_0075,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0076,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong
participant_0077,Correct,Correct,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct
participant_0078,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct
participant_0079,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0080,Correct,Wrong,Wrong,,Correct,Correct,Correct,Correct,Correct,Correct
participant_0081,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0082,Correct,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0083,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0084,Correct,Wrong,Correct,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Correct
participant_0085,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0086,Correct,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Wrong,Correct,Wrong
participant_0087,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0088,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0089,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Wrong
participant_0090,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong,Wrong,Wrong
participant_0091,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Wrong
participant_0092,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0093,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0095,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0096,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong
participant_0097,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0098,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0099,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0100,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0101,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0102,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0103,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0104,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0105,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0106,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0107,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0108,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0109,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong
participant_0110,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0111,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0112,Correct,Wrong,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0113,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong,Correct
participant_0114,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct
participant_0115,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct
participant_0116,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0117,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,['Wrong' 'Correct']
participant_0118,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
